city,lat,lng,admin_name
Casablanca,33.5333,-7.5833,Casablanca-Settat
Fès,34.0433,-5.0033,Fès-Meknès
Marrakech,31.63,-8.0089,Marrakech-Safi
Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma
Sale,34.0333,-6.8,Rabat-Salé-Kénitra
Rabat,34.0209,-6.8416,Rabat-Salé-Kénitra
Meknès,33.895,-5.5547,Fès-Meknès
Oujda-Angad,34.6867,-1.9114,Oriental
Kenitra,34.25,-6.5833,Rabat-Salé-Kénitra
Agadir,30.4333,-9.6,Souss-Massa
Tétouan,35.5667,-5.3667,Tanger-Tétouan-Al Hoceïma
Taourirt,34.4169,-2.885,Oriental
Temara,33.9267,-6.9122,Rabat-Salé-Kénitra
Safi,32.2833,-9.2333,Marrakech-Safi
Khénifra,32.9394,-5.6675,Béni Mellal-Khénifra
El Jadid,33.2333,-8.5,Casablanca-Settat
Laâyoune,27.1536,-13.2033,Laâyoune-Sakia El Hamra
Mohammedia,33.6833,-7.3833,Casablanca-Settat
Kouribga,32.8833,-6.9167,Béni Mellal-Khénifra
Béni Mellal,32.3394,-6.3608,Béni Mellal-Khénifra
Ait Melloul,30.3342,-9.4972,Souss-Massa
Nador,35.1667,-2.9333,Oriental
Taza,34.2167,-4.0167,Fès-Meknès
Settat,33.0,-7.6167,Casablanca-Settat
Barrechid,33.2667,-7.5833,Casablanca-Settat
Al Khmissat,33.8167,-6.0667,Rabat-Salé-Kénitra
Inezgane,30.3658,-9.5381,Souss-Massa
Ksar El Kebir,35.009,-5.9,Tanger-Tétouan-Al Hoceïma
My Drarga,30.38,-9.48,Souss-Massa
Larache,35.1833,-6.15,Tanger-Tétouan-Al Hoceïma
Guelmim,28.9833,-10.0667,Guelmim-Oued Noun
Berkane,34.9167,-2.3167,Oriental
Ad Dakhla,23.7081,-15.9456,Dakhla-Oued Ed-Dahab
Bouskoura,33.4489,-7.6486,Casablanca-Settat
Al Fqih Ben Çalah,32.5,-6.5333,Béni Mellal-Khénifra
Oued Zem,32.8667,-6.5667,Béni Mellal-Khénifra
Sidi Slimane,34.26,-5.92,Rabat-Salé-Kénitra
Errachidia,31.9319,-4.4244,Drâa-Tafilalet
Guercif,34.2333,-3.3667,Oriental
Oulad Teïma,30.4,-9.2167,Souss-Massa
Ben Guerir,32.23,-7.95,Marrakech-Safi
Wislane,30.225,-8.3801,Souss-Massa
Tiflet,33.8931,-6.3069,Rabat-Salé-Kénitra
Lqoliaa,30.2908,-9.4661,Souss-Massa
Taroudannt,30.471,-8.8806,Souss-Massa
Sefrou,33.83,-4.83,Fès-Meknès
Essaouira,31.5131,-9.7697,Marrakech-Safi
Fnidq,35.85,-5.35,Tanger-Tétouan-Al Hoceïma
Ait Ali,30.1765,-9.4886,Souss-Massa
Sidi Qacem,34.2167,-5.7,Rabat-Salé-Kénitra
Tiznit,29.7167,-9.7167,Souss-Massa
Moulay Abdallah,33.1978,-8.5883,Casablanca-Settat
Tan-Tan,28.4333,-11.1,Guelmim-Oued Noun
Warzat,30.9167,-6.9167,Drâa-Tafilalet
Youssoufia,32.25,-8.5333,Marrakech-Safi
Sa’ada,31.621,-8.1303,Marrakech-Safi
Martil,35.6167,-5.2667,Tanger-Tétouan-Al Hoceïma
Aïn Harrouda,33.6372,-7.4483,Casablanca-Settat
Souq Sebt Oulad Nemma,32.2948,-6.7007,Béni Mellal-Khénifra
Skhirate,33.85,-7.03,Rabat-Salé-Kénitra
Ouezzane,34.8,-5.5833,Tanger-Tétouan-Al Hoceïma
Sidi Yahya Zaer,33.7105,-6.8831,Rabat-Salé-Kénitra
Benslimane,33.6167,-7.1167,Casablanca-Settat
Semara,26.7394,-11.6703,Laâyoune-Sakia El Hamra
Al Hoceïma,35.2472,-3.9322,Tanger-Tétouan-Al Hoceïma
Beni Enzar,35.2667,-2.9333,Oriental
M’diq,35.6858,-5.3253,Tanger-Tétouan-Al Hoceïma
Sidi Bennour,32.65,-8.4333,Casablanca-Settat
Midalt,32.68,-4.73,Drâa-Tafilalet
Douar Ain Chkef,33.9619,-5.0813,Fès-Meknès
Azrou,33.4417,-5.2247,Fès-Meknès
El Kelaa des Srarhna,32.0481,-7.4083,Marrakech-Safi
Ain El Aouda,33.8111,-6.7922,Rabat-Salé-Kénitra
Beni Yakhlef,33.6555,-7.3221,Casablanca-Settat
Ad Darwa,33.4167,-7.5333,Casablanca-Settat
Al Aaroui,35.0029,-3.0311,Oriental
Qasbat Tadla,32.6,-6.2667,Béni Mellal-Khénifra
Boujad,32.7667,-6.4,Béni Mellal-Khénifra
Tinajdad,31.5,-5.0167,Drâa-Tafilalet
Jerada,34.3117,-2.1636,Oriental
Douar Bni Malek,34.78,-5.6425,Tanger-Tétouan-Al Hoceïma
Chefchaouene,35.1714,-5.2697,Tanger-Tétouan-Al Hoceïma
Mrirt,33.1667,-5.5667,Béni Mellal-Khénifra
Cabo Bojador,26.1333,-14.5,Laâyoune-Sakia El Hamra
Sidi Mohamed Lahmar,34.7167,-6.2667,Rabat-Salé-Kénitra
Tineghir,31.5147,-5.5328,Drâa-Tafilalet
El Aïoun,34.5852,-2.5056,Oriental
Azemmour,33.2878,-8.3422,Casablanca-Settat
Temsia,30.36,-9.414,Souss-Massa
Zoumi,34.8,-5.35,Tanger-Tétouan-Al Hoceïma
Douar Laouamra,31.8,-8.7167,Marrakech-Safi
Zagora,30.3306,-5.8381,Drâa-Tafilalet
Ait Ourir,31.5644,-7.6628,Marrakech-Safi
Sidi Bibi,30.2333,-9.5333,Souss-Massa
Aziylal,31.9669,-6.5694,Béni Mellal-Khénifra
Sidi Yahia El Gharb,34.3058,-6.3058,Rabat-Salé-Kénitra
Biougra,30.2144,-9.3708,Souss-Massa
Taounate,34.5358,-4.64,Fès-Meknès
Bouznika,33.7897,-7.1575,Casablanca-Settat
Aourir,30.4833,-9.6333,Souss-Massa
Zaïo,34.9333,-2.7333,Oriental
Aguelmous,33.15,-5.8333,Béni Mellal-Khénifra
El Hajeb,33.6928,-5.3711,Fès-Meknès
Dabouziya,33.3064,-8.3548,Casablanca-Settat
Mnasra,34.7667,-5.5167,Tanger-Tétouan-Al Hoceïma
Zeghanghane,35.15,-3.0,Oriental
Imzouren,35.15,-3.85,Tanger-Tétouan-Al Hoceïma
Oulad Zemam,32.35,-6.6333,Béni Mellal-Khénifra
Ben Ahmed,33.0655,-7.2464,Casablanca-Settat
Tit Mellil,33.5533,-7.4822,Casablanca-Settat
Arbaoua,34.9,-5.9167,Rabat-Salé-Kénitra
Douar Oulad Hssine,33.068,-8.5107,Casablanca-Settat
Bahharet Oulad Ayyad,34.7702,-6.3047,Rabat-Salé-Kénitra
Mechraa Bel Ksiri,34.56,-5.95,Rabat-Salé-Kénitra
Mograne,34.4167,-6.4333,Rabat-Salé-Kénitra
Dar Ould Zidouh,32.3167,-6.9,Béni Mellal-Khénifra
Asilah,35.4667,-6.0333,Tanger-Tétouan-Al Hoceïma
Al ’Attawia,31.8347,-7.3125,Marrakech-Safi
Demnat,31.7311,-7.0361,Béni Mellal-Khénifra
Lalla Mimouna,34.85,-6.0669,Rabat-Salé-Kénitra
Fritissa,33.6167,-3.55,Fès-Meknès
Arfoud,31.4361,-4.2328,Drâa-Tafilalet
Tameslouht,31.5,-8.1,Marrakech-Safi
Bou Arfa,32.5309,-1.965,Oriental
Sidi Smai’il,32.8167,-8.5,Casablanca-Settat
Taza,35.0639,-5.2025,Tanger-Tétouan-Al Hoceïma
Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Rabat-Salé-Kénitra
Mehdya,34.2597,-6.65,Rabat-Salé-Kénitra
Oulad Hammou,33.2499,-8.3346,Casablanca-Settat
Douar Oulad Aj-jabri,32.2567,-6.7839,Béni Mellal-Khénifra
Aïn Taoujdat,33.9333,-5.2167,Fès-Meknès
Dar Bel Hamri,34.1889,-5.9697,Rabat-Salé-Kénitra
Chichaoua,31.5333,-8.7667,Marrakech-Safi
Tahla,34.05,-4.42,Fès-Meknès
Bellaa,30.0314,-9.5542,Souss-Massa
Oulad Yaïch,32.4167,-6.3333,Béni Mellal-Khénifra
Ksebia,34.2933,-6.1594,Rabat-Salé-Kénitra
Ourika Wawrmas,30.7167,-6.5333,Drâa-Tafilalet
Tamorot,34.9333,-4.7833,Tanger-Tétouan-Al Hoceïma
Moulay Bousselham,34.8786,-6.2933,Rabat-Salé-Kénitra
Iheddadene,35.15,-2.9667,Oriental
Sabaa Aiyoun,33.9,-5.3667,Fès-Meknès
Bourdoud,34.5922,-4.5492,Fès-Meknès
Aït Faska,31.5058,-7.7161,Marrakech-Safi
Rich,32.2583,-4.5056,Drâa-Tafilalet
Boureït,34.9833,-4.9167,Tanger-Tétouan-Al Hoceïma
Lamzoudia,31.5833,-8.4833,Marrakech-Safi
Oulad Said,32.632,-8.8456,Casablanca-Settat
Missour,33.05,-3.9833,Fès-Meknès
Ain Aicha,34.4833,-4.7,Fès-Meknès
Zawyat ech Cheïkh,32.6414,-5.9206,Béni Mellal-Khénifra
Bouknadel,34.1333,-6.7333,Rabat-Salé-Kénitra
El Ghiate,32.0331,-9.1625,Marrakech-Safi
Safsaf,34.5581,-6.0078,Rabat-Salé-Kénitra
Ouaoula,31.8667,-6.75,Béni Mellal-Khénifra
Douar Olad. Salem,32.8739,-8.8588,Casablanca-Settat
Oulad Tayeb,33.9598,-4.9954,Fès-Meknès
Ain Dfali,34.599,-5.5488,Rabat-Salé-Kénitra
Echemmaia Est,32.0786,-8.6325,Marrakech-Safi
Oulad Barhil,30.6408,-8.475,Souss-Massa
Douar ’Ayn Dfali,33.95,-4.45,Fès-Meknès
Bir Jdid,33.3737,-8.0002,Casablanca-Settat
Setti Fatma,31.2256,-7.6758,Marrakech-Safi
Skoura,31.0606,-6.5556,Drâa-Tafilalet
Douar Ouled Ayad,32.2,-6.7975,Casablanca-Settat
Zawyat an Nwaçer,33.3611,-7.6114,Casablanca-Settat
Khenichet-sur Ouerrha,34.4333,-5.6667,Rabat-Salé-Kénitra
Ayt Mohamed,32.5667,-6.9833,Béni Mellal-Khénifra
Gueznaia,35.7066,-5.9088,Tanger-Tétouan-Al Hoceïma
Oulad Hassoune,31.6503,-7.8361,Marrakech-Safi
Bni Frassen,34.3833,-4.3833,Fès-Meknès
Douar Imoukkane,35.0298,-4.8125,Tanger-Tétouan-Al Hoceïma
Tnine Lgharbia,32.5719,-8.8568,Casablanca-Settat
Tighedouine,31.4236,-7.5208,Marrakech-Safi
Alnif,31.1167,-5.1667,Drâa-Tafilalet
Sidi Lmokhtar,31.57,-9.01,Marrakech-Safi
Souk Tlet El Gharb,34.6211,-6.1336,Rabat-Salé-Kénitra
Arbi’a Tighadwiyn,31.4279,-7.5253,Marrakech-Safi
Had Oulad Issa,32.9519,-8.6982,Casablanca-Settat
Tidili Masfiywat,31.4667,-7.6167,Marrakech-Safi
Sidi Ifni,29.3833,-10.1667,Guelmim-Oued Noun
Tamgrout,30.2667,-5.6667,Drâa-Tafilalet
Selouane,35.0667,-2.9333,Oriental
Amizmiz,31.2167,-8.25,Marrakech-Safi
Afourar,32.2167,-6.5,Béni Mellal-Khénifra
Asni,31.25,-7.9833,Marrakech-Safi
Tabount,30.88,-6.91,Drâa-Tafilalet
Imi n’Oulaoun,31.4224,-6.5641,Drâa-Tafilalet
Saka,34.6167,-3.4167,Oriental
Bni Rzine,35.0108,-4.7262,Tanger-Tétouan-Al Hoceïma
El Gara,33.2819,-7.2319,Casablanca-Settat
Sidi Abdelkader,33.0494,-8.6886,Casablanca-Settat
Imi-n-Tanout,31.16,-8.85,Marrakech-Safi
Sidi Chiker,31.7453,-8.7069,Marrakech-Safi
Sidi Rahal,33.7897,-7.1575,Casablanca-Settat
Station des Essais M.V.A.,34.9352,-2.4306,Oriental
Reçani,31.2859,-4.2751,Drâa-Tafilalet
Aïn Cheggag,33.8833,-5.0333,Fès-Meknès
Sidi Jaber,32.3833,-6.4167,Béni Mellal-Khénifra
Jdour,32.1269,-8.7633,Marrakech-Safi
Douar Lamrabih,34.8167,-5.8167,Rabat-Salé-Kénitra
El Ksiba,32.5681,-6.0308,Béni Mellal-Khénifra
Sidi Taibi,34.1917,-6.6845,Rabat-Salé-Kénitra
’Ali Ben Sliman,31.91,-7.21,Marrakech-Safi
Tarhzirt,32.4333,-6.1833,Béni Mellal-Khénifra
Aït Tamlil,31.48,-6.94,Béni Mellal-Khénifra
Had Zraqtane,31.45,-7.4,Marrakech-Safi
El Mansouria,33.75,-7.3,Casablanca-Settat
Oulad Embarek,32.2833,-6.4667,Béni Mellal-Khénifra
Oulad Fraj,32.9667,-8.2333,Casablanca-Settat
Jnane Bouih,32.0308,-8.7894,Marrakech-Safi
Ahfir,34.9514,-2.1025,Oriental
Ait Bousarane,31.7318,-7.0876,Béni Mellal-Khénifra
Ait Bouziyane,33.8167,-5.2749,Fès-Meknès
Oulad Salmane,34.3356,-6.4604,Rabat-Salé-Kénitra
Douar Ait Sidi Daoud,31.6347,-7.6444,Marrakech-Safi
Al Brouj,32.505,-7.1927,Casablanca-Settat
Sidi Redouane,34.6833,-5.45,Tanger-Tétouan-Al Hoceïma
Zaouïa Aït Ishak,32.76,-5.7233,Béni Mellal-Khénifra
Imouzzer Kandar,33.73,-5.01,Fès-Meknès
Douar Toulal,33.8951,-5.6021,Fès-Meknès
Ait Ben Daoudi,31.6345,-7.644,Marrakech-Safi
Beni Zouli,30.4839,-5.8619,Drâa-Tafilalet
Oulmes,33.445,-6.0011,Rabat-Salé-Kénitra
Karia Ba Mohamed,34.3667,-5.2,Fès-Meknès
Tata,29.7428,-7.9725,Souss-Massa
Jbabra,34.4314,-4.9642,Fès-Meknès
Tamri,30.695,-9.825,Souss-Massa
Sebt Gzoula,32.1167,-9.0833,Marrakech-Safi
Chouafa,34.9468,-6.1667,Rabat-Salé-Kénitra
Foum el Anser,32.3718,-6.2613,Béni Mellal-Khénifra
Assa,28.6086,-9.4269,Guelmim-Oued Noun
Lamrasla,32.0247,-8.9153,Marrakech-Safi
Aït Bouchta,35.1056,-3.8503,Tanger-Tétouan-Al Hoceïma
Bni Bouayach,35.0986,-3.8397,Tanger-Tétouan-Al Hoceïma
Ikniwn,31.1736,-5.6733,Drâa-Tafilalet
Bouarouss,34.3667,-4.8167,Fès-Meknès
Ghouazi,34.4667,-5.3,Fès-Meknès
Sidi Allal Tazi,34.5197,-6.3236,Rabat-Salé-Kénitra
Douar Oulad Mbarek,34.2833,-4.3167,Fès-Meknès
Laatatra,32.6315,-8.4148,Casablanca-Settat
Aït Majdane,31.8514,-6.9658,Béni Mellal-Khénifra
Sahel,34.9667,-4.55,Tanger-Tétouan-Al Hoceïma
Dar Chaifat,32.55,-7.5,Casablanca-Settat
Awlouz,30.7,-8.15,Souss-Massa
Milla’ab,31.4737,-4.7424,Drâa-Tafilalet
Ketama,34.9158,-4.5686,Tanger-Tétouan-Al Hoceïma
Galaz,34.55,-4.8,Fès-Meknès
Chouafaa,34.7667,-6.05,Rabat-Salé-Kénitra
Tagounite,29.9585,-5.9151,Drâa-Tafilalet
Sidi Yakoub,31.6667,-7.0667,Béni Mellal-Khénifra
Knemis Dades,31.309,-6.028,Drâa-Tafilalet
Oulad Amrane,32.2833,-9.2333,Marrakech-Safi
Qal’at Mgouna,31.2414,-6.1283,Drâa-Tafilalet
Douar Lamjaara,34.6147,-5.2887,Tanger-Tétouan-Al Hoceïma
Ratba,34.7833,-4.9333,Fès-Meknès
Sidi Lamine,32.9,-6.05,Béni Mellal-Khénifra
Ouaouzgane,35.0167,-4.5167,Tanger-Tétouan-Al Hoceïma
Ribat Al Khayr,33.82,-4.41,Fès-Meknès
Agourai,33.6333,-5.5833,Fès-Meknès
Sidi Ettiji,32.1717,-8.8686,Marrakech-Safi
Douar Tabouda,34.7167,-5.1333,Fès-Meknès
Zirara,32.35,-8.5333,Casablanca-Settat
Mensora,34.8356,-4.9655,Tanger-Tétouan-Al Hoceïma
Tamallalt,31.8289,-7.5261,Marrakech-Safi
Goulmima,31.6944,-4.9592,Drâa-Tafilalet
Outat Oulad Al Haj,33.3333,-3.6833,Fès-Meknès
Sebt Aït Saghiouchen,34.0122,-4.5536,Fès-Meknès
’Ayn Bni Mathar,34.0889,-2.0247,Oriental
Timezgana,34.5833,-4.7333,Fès-Meknès
Talsint,32.5398,-3.4408,Oriental
Al Qbab,32.7333,-5.5167,Béni Mellal-Khénifra
Bni Tajjit,32.2833,-3.4833,Oriental
Zegzel,34.8407,-2.3543,Oriental
Douar Azla,35.5564,-5.2453,Tanger-Tétouan-Al Hoceïma
Masmouda,34.7862,-5.7078,Tanger-Tétouan-Al Hoceïma
Ait Yaazem,33.7333,-5.5833,Fès-Meknès
Bouchabel,34.3833,-5.0167,Fès-Meknès
Bni Quolla,34.738,-5.5441,Tanger-Tétouan-Al Hoceïma
Bou Djeniba,32.9,-6.7833,Béni Mellal-Khénifra
Khat Azakane,32.2226,-9.1343,Marrakech-Safi
Sidi Azzouz,31.7667,-7.6667,Marrakech-Safi
Zemrane,31.67,-7.44,Marrakech-Safi
Caidat Sidi Boubker El Haj,34.9148,-6.0735,Rabat-Salé-Kénitra
L’Oulja,34.2894,-4.9481,Fès-Meknès
Ras el Oued,34.15,-4.0,Fès-Meknès
Haddada,34.2236,-6.5111,Rabat-Salé-Kénitra
Sidi Allal el Bahraoui,33.983,-6.417,Rabat-Salé-Kénitra
Tamazouzt,31.3833,-8.3833,Marrakech-Safi
Ras El Oued,34.339,-4.5558,Fès-Meknès
Aïn Mediouna,34.5,-4.55,Fès-Meknès
Sebt Bni Smith,35.1373,-4.7107,Tanger-Tétouan-Al Hoceïma
Skhour Rehamna,32.4833,-7.9167,Marrakech-Safi
